goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
650,2019-02-23,FCBarcelona,Sevilla,LL,0,,7,45,1,0,,
651,2019-03-09,FCBarcelona,Rayo Vallecano,LL,1,Semedo,11,50,1,1,,
652,2019-03-13,FCBarcelona,Lyon,CL,1,Suarez,11,50,1,1,,
653,2019-03-13,FCBarcelona,Lyon,CL,1,Busquets,13,51,2,0,,
654,2019-03-17,FCBarcelona,Real Betis,LL,0,,23,56,1,2,,
655,2019-03-17,FCBarcelona,Real Betis,LL,0,Suarez,7,49,1,0,,
656,2019-03-17,FCBarcelona,Real Betis,LL,0,Rakitic,15,36,1,0,,
657,2019-03-30,FCBarcelona,Espanyol,LL,1,,17,54,1,2,,
658,2019-03-30,FCBarcelona,Espanyol,LL,1,Suarez,12,44,1,0,,
659,2019-04-02,FCBarcelona,Villareal,LL,0,,19,52,1,2,,
660,2019-04-06,FCBarcelona,Atletico Madrid,LL,1,,11,56,1,0,,
661,2019-04-16,FCBarcelona,Man United,CL,1,,20,56,1,0,,
662,2019-04-16,FCBarcelona,Man United,CL,1,,20,49,2,0,,
663,2019-04-27,FCBarcelona,Levante,LL,1,Vidal,7,60,1,0,,
664,2019-05-01,FCBarcelona,Liverpool,CL,1,Suarez,1,46,1,0,,
665,2019-05-01,FCBarcelona,Liverpool,CL,1,,27,49,1,2,,iconic
666,2019-05-19,FCBarcelona,Eibar,LL,0,Vidal,4,36,1,0,,
667,2019-05-19,FCBarcelona,Eibar,LL,0,Rakitic,10,38,1,0,,
668,2019-05-25,FCBarcelona,Valencia,CDR,1,Lenglet,3,55,1,0,,
669,2019-06-08,FCBarcelona,Nicaragua,IF,1,Lo Celso,12,48,1,0,,
670,2019-06-08,FCBarcelona,Nicaragua,IF,1,,3,56,1,0,,
671,2019-06-08,Argentina,Paraguay,CA,1,,3,56,1,0,,
672,2019-10-06,FCBarcelona,Sevilla,LL,1,,22,65,1,2,,
673,2019-10-19,FCBarcelona,Eibar,LL,0,Griezmann,8,42,1,0,,
674,2019-10-23,FCBarcelona,Slavia Prague,CL,0,Melo,11,56,1,0,,
675,2019-10-29,FCBarcelona,Valladolid,LL,1,,25,63,1,2,,
676,2019-10-29,FCBarcelona,Valladolid,LL,1,Rakitic,13,42,1,0,,
677,2019-11-02,FCBarcelona,Levante,LL,0,Semedo,11,50,1,1,,
678,2019-11-09,FCBarcelona,Celta Vigo,LL,1,,11,50,1,0,,
679,2019-11-09,FCBarcelona,Celta Vigo,LL,1,,24,55,1,2,,
680,2019-11-09,FCBarcelona,Celta Vigo,LL,1,,24,53,1,2,,
681,2019-11-15,Argentina,Brazil,IF,0,,3,51,1,0,rebound on penalty save,
682,2019-11-18,Argentina,Uruguay,IF,1,,11,50,1,1,,
683,2019-11-27,FCBarcelona,Borussia Dortmund,CL,1,Suarez,9,37,1,0,,
684,2019-12-01,FCBarcelona,Atletico Madrid,LL,0,Suarez,18,47,1,0,,
685,2019-12-07,FCBarcelona,Mallorca,LL,1,Griezmann,22,60,1,0,,
686,2019-12-07,FCBarcelona,Mallorca,LL,1,Rakitic,19,50,1,0,,
687,2019-12-07,FCBarcelona,Mallorca,LL,1,Suarez,13,63,1,0,,
688,2019-12-21,FCBarcelona,Alaves,LL,1,Suarez,21,39,1,0,,
689,2020-01-09,FCBarcelona,Atletico Madrid,Spanish SC,1,Suarez,15,44,2,0,,
690,2020-01-19,FCBarcelona,Granada,LL,1,Vidal,14,51,2,0,,
691,2020-01-30,FCBarcelona,Leganes,CDR,1,De Jong,9,60,1,0,,
