goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
98,2009-09-22,FCBarcelona,Racing Santander,LL,0,Xavi,15,54,1,0,,
99,2009-09-22,FCBarcelona,Racing Santander,LL,0,Xavi,17,53,1,0,,
100,2009-09-29,FCBarcelona,Dynamo Kyiv,CL,1,Iniesta,13,66,1,0,,
101,2009-10-25,FCBarcelona,Real Zaragoza,LL,1,Iniesta,9,60,1,0,chip,
102,2009-11-07,FCBarcelona,Mallorca,LL,1,none,11,50,1,1,,
103,2009-11-10,FCBarcelona,Cultural Leonesa,CDR,1,Xavi,14,41,1,0,,
104,2009-11-14,Argentina,Spain,IF,0,none,11,50,1,1,,
105,2009-12-05,FCBarcelona,Deportivo La Coruna,LL,0,Alves,18,55,1,0,,
106,2009-12-05,FCBarcelona,Deportivo La Coruna,LL,0,Pedro,10,54,3,0,,
107,2009-12-09,FCBarcelona,Dynamo Kyiv,CL,0,none,23,67,1,2,,
108,2009-12-16,FCBarcelona,Atlante,Club WC,0,Ibra,7,42,1,0,,
109,2009-12-19,FCBarcelona,Estudiantes,Club WC,0,Alves,6,50,3,0,,
110,2010-01-10,FCBarcelona,Tenerife,LL,0,Bojan,9,55,1,0,,
111,2010-01-10,FCBarcelona,Tenerife,LL,0,Bojan,3,53,2,0,,
112,2010-01-10,FCBarcelona,Tenerife,LL,0,Bojan,12,41,2,0,chip,
113,2010-01-16,FCBarcelona,Sevilla,LL,1,Alves,7,50,1,0,,
114,2010-01-16,FCBarcelona,Sevilla,LL,1,Abidal,14,47,1,0,,
115,2010-01-23,FCBarcelona,Valladolid,LL,0,Ibra,10,55,1,0,,
116,2010-02-06,FCBarcelona,Getafe,LL,1,toure,21,48,1,0,,
117,2010-02-27,FCBarcelona,Malaga,LL,1,Alves,6,47,2,0,,
118,2010-03-06,FCBarcelona,Almeria,LL,0,none,12,56,1,2,,
119,2010-03-06,FCBarcelona,Almeria,LL,0,none,5,48,1,0,,
120,2010-03-14,FCBarcelona,Valencia,LL,1,Xavi,7,62,1,0,,
121,2010-03-14,FCBarcelona,Valencia,LL,1,Henry,14,63,1,0,,
122,2010-03-14,FCBarcelona,Valencia,LL,1,unknown,6,63,2,0,,
123,2010-03-17,FCBarcelona,Stuttgart,CL,1,unknown,19,45,1,0,,
124,2010-03-17,FCBarcelona,Stuttgart,CL,1,Alves,20,49,1,0,,
125,2010-03-21,FCBarcelona,Real Zaragoza,LL,0,Pedro,9,52,3,0,,
126,2010-03-21,FCBarcelona,Real Zaragoza,LL,0,,10,35,1,0,,
127,2010-03-21,FCBarcelona,Real Zaragoza,LL,0,Iniesta,17,63,1,0,,
128,2010-04-03,FCBarcelona,Athletic Club,LL,1,Pedro,7,56,1,0,,
129,2010-04-06,FCBarcelona,Arsenal,CL,1,none,18,53,1,0,,
130,2010-04-06,FCBarcelona,Arsenal,CL,1,Pedro,8,53,1,0,,
131,2010-04-06,FCBarcelona,Arsenal,CL,1,Keita,14,59,1,0,chip,
132,2010-04-06,FCBarcelona,Arsenal,CL,1,none,4,35,1,0,,
133,2010-04-10,FCBarcelona,Real Madrid,LL,0,Xavi,8,43,2,0,,
134,2010-05-01,FCBarcelona,Villareal,LL,0,Xavi,6,33,1,0,,
135,2010-05-01,FCBarcelona,Villareal,LL,0,Alves,6,52,1,0,,
136,2010-05-04,FCBarcelona,Tenerife,LL,1,Ibra,2,55,2,0,,
137,2010-05-04,FCBarcelona,Tenerife,LL,1,Maxwell,7,61,2,0,,
138,2010-05-08,FCBarcelona,Sevilla,LL,0,Maxwell,14,44,1,0,,
139,2010-05-16,FCBarcelona,Valladolid,LL,1,toure,6,44,2,0,,
140,2010-05-16,FCBarcelona,Valladolid,LL,1,toure,14,48,1,0,,
141,2010-08-21,FCBarcelona,Sevilla,Spanish SC,1,Xavi,10,37,1,0,,
142,2010-08-21,FCBarcelona,Sevilla,Spanish SC,1,Alves,6,64,2,0,,
143,2010-08-21,FCBarcelona,Sevilla,Spanish SC,1,Iniesta,9,45,1,0,,
144,2010-08-29,FCBarcelona,Racing Santander,LL,0,Iniesta,13,63,2,0,chip,
145,2010-09-07,Argentina,Spain,IF,1,Tevez,4,39,1,0,chip,
146,2010-09-14,FCBarcelona,Panathanaikos,CL,1,Xavi,9,64,1,0,,
147,2010-09-14,FCBarcelona,Panathanaikos,CL,1,Pedro,13,46,1,0,,
148,2010-09-19,FCBarcelona,Atletico Madrid,LL,0,Pedro,7,60,1,0,,
149,2010-10-03,FCBarcelona,Mallorca,LL,1,Pedro,19,51,1,0,,
150,2010-10-20,FCBarcelona,Copenhagen,CL,1,Iniesta,20,47,1,0,,
151,2010-10-20,FCBarcelona,Copenhagen,CL,1,Abidal,3,50,1,0,,
152,2010-10-23,FCBarcelona,Real Zaragoza,LL,0,Villa,13,46,1,0,,
153,2010-10-23,FCBarcelona,Real Zaragoza,LL,0,,14,55,1,0,,
154,2010-10-30,FCBarcelona,Sevilla,LL,1,,7,35,1,0,,
155,2010-10-30,FCBarcelona,Sevilla,LL,1,,19,45,1,0,Solo,
156,2010-11-02,FCBarcelona,Copenhagen,CL,1,,8,59,2,0,,
157,2010-11-07,FCBarcelona,Getafe,LL,0,Villa,5,63,1,0,,
158,2010-11-10,FCBarcelona,Ceuta,CDR,1,Thiago,12,52,1,0,,
159,2010-11-13,FCBarcelona,Villareal,LL,1,Pedro,4,65,2,0,chip,
160,2010-11-13,FCBarcelona,Villareal,LL,1,Pedro,6,54,1,0,,
161,2010-11-17,Argentina,Brazil,IF,0,Lavezzi,15,45,1,0,,
162,2010-11-20,FCBarcelona,Almeria,LL,0,Villa,20,45,1,0,,
163,2010-11-20,FCBarcelona,Almeria,LL,0,,3,55,2,0,,
164,2010-11-20,FCBarcelona,Almeria,LL,0,Villa,3,55,1,0,,
165,2010-11-24,FCBarcelona,Panathanaikos,CL,1,Adriano,6,47,1,0,,
166,2010-12-04,FCBarcelona,Osasuna,LL,0,Villa,11,36,1,0,,
167,2010-12-04,FCBarcelona,Osasuna,LL,0,none,11,50,1,1,,
168,2010-12-12,FCBarcelona,Real Sociedad,LL,1,Alves,7,65,1,0,,
169,2010-12-12,FCBarcelona,Real Sociedad,LL,1,Bojan,8,44,1,0,,
170,2011-01-08,FCBarcelona,Deportivo La Coruna,LL,0,,22,46,1,2,,
171,2011-01-12,FCBarcelona,Real Betis,CDR,1,Iniesta,11,65,1,0,chip,
172,2011-01-12,FCBarcelona,Real Betis,CDR,1,,7,34,1,0,,
173,2011-01-12,FCBarcelona,Real Betis,CDR,1,Xavi,13,47,1,0,,
174,2011-01-19,FCBarcelona,Real Betis,CDR,0,Xavi,10,38,1,0,,
175,2011-01-22,FCBarcelona,Racing Santander,LL,1,none,11,50,1,1,,
176,2011-01-26,FCBarcelona,Almeria,CDR,1,Pedro,18,44,1,0,,
177,2011-01-26,FCBarcelona,Almeria,CDR,1,Iniesta,12,58,1,0,,
178,2011-01-29,FCBarcelona,Hercules,LL,0,Alves,14,48,1,0,,
179,2011-01-29,FCBarcelona,Hercules,LL,0,Alves,2,47,1,0,,
180,2011-02-05,FCBarcelona,Atletico Madrid,LL,1,Alves,17,54,1,0,,
181,2011-02-05,FCBarcelona,Atletico Madrid,LL,1,Pedro,6,54,1,0,,
182,2011-02-05,FCBarcelona,Atletico Madrid,LL,1,Villa,2,54,1,0,,
183,2011-02-09,Argentina,Portugal,IF,0,,11,50,1,1,,
184,2011-02-20,FCBarcelona,Athletic Club,LL,1,Alves,5,58,2,0,,
185,2011-02-26,FCBarcelona,Mallorca,LL,0,Keita,7,56,3,0,,
186,2011-03-02,FCBarcelona,Valencia,LL,0,Adriano,9,46,1,0,,
187,2011-03-08,FCBarcelona,Arsenal,CL,1,Inieta,3,55,1,0,self assist,
188,2011-03-08,FCBarcelona,Arsenal,CL,1,,11,50,1,1,,
189,2011-04-09,FCBarcelona,Almeria,LL,1,,11,50,1,0,,
190,2011-04-09,FCBarcelona,Almeria,LL,1,,7,48,1,0,,
191,2011-04-12,FCBarcelona,Shaktar Donetsk,CL,1,Alves,10,57,1,0,,
192,2011-04-16,FCBarcelona,Real Madrid,LL,0,,11,50,1,1,,
193,2011-04-23,FCBarcelona,Osasuna,LL,1,Alves,10,58,2,0,,
194,2011-04-27,FCBarcelona,Real Madrid,CL,0,Affelai,2,54,1,0,,
195,2011-04-27,FCBarcelona,Real Madrid,CL,0,Busquets,8,60,2,0,,Solo
196,2011-05-26,FCBarcelona,Man United,CL,0,Iniesta,21,57,1,0,,
197,2011-06-20,Argentina,Albania,IF,1,Lavezzi,13,54,1,0,,
198,2011-08-14,FCBarcelona,Real Madrid,Spanish SC,0,Thiago,10,64,1,0,,
199,2011-08-17,FCBarcelona,Real Madrid,Spanish SC,1,Pique,5,58,2,0,,
200,2011-08-17,FCBarcelona,Real Madrid,Spanish SC,1,Adriano,8,53,1,0,,
201,2011-08-26,FCBarcelona,Porto,European SC,1,,6,35,1,0,,
202,2011-08-29,FCBarcelona,Villareal,LL,1,Iniesta,4,62,2,0,,
203,2011-08-29,FCBarcelona,Villareal,LL,1,Thiago,3,51,3,0,,
204,2011-09-17,FCBarcelona,Osasuna,LL,1,Alves,1,45,1,0,,
205,2011-09-17,FCBarcelona,Osasuna,LL,1,Fabregas,10,48,1,0,,
206,2011-09-17,FCBarcelona,Osasuna,LL,1,Fabregas,9,53,1,0,,
207,2011-09-24,FCBarcelona,Atletico Madrid,LL,1,Pedro,7,65,1,0,,
208,2011-09-24,FCBarcelona,Atletico Madrid,LL,1,Alves,9,36,1,0,,
209,2011-09-24,FCBarcelona,Atletico Madrid,LL,1,Villa,4,36,1,0,,
210,2011-09-28,FCBarcelona,Bate Borisov,CL,0,,4,54,3,0,,
211,2011-09-28,FCBarcelona,Bate Borisov,CL,0,Alves,14,54,3,0,,
212,2011-10-08,Argentina,Chile,WCQ,1,Higuain,15,48,1,0,,
213,2011-10-15,FCBarcelona,Racing Santander,LL,1,Iniesta,3,60,2,0,,
214,2011-10-15,FCBarcelona,Racing Santander,LL,1,,11,61,2,0,,
215,2011-10-29,FCBarcelona,Mallorca,LL,1,,11,50,1,1,,
216,2011-10-29,FCBarcelona,Mallorca,LL,1,Adriano,6,54,2,0,,
217,2011-10-29,FCBarcelona,Mallorca,LL,1,Alves,11,47,1,0,,
218,2011-11-01,FCBarcelona,Viktoria Plzen,CL,0,,11,50,1,1,,
219,2011-11-01,FCBarcelona,Viktoria Plzen,CL,0,Adriano,10,43,1,0,,
220,2011-11-01,FCBarcelona,Viktoria Plzen,CL,0,Pique,6,39,1,0,,
221,2011-11-06,FCBarcelona,Athletic Club,LL,0,,14,42,1,0,,
222,2011-11-15,Argentina,Colombia,WCQ,0,Sosa,4,39,1,0,,
223,2011-11-19,FCBarcelona,Real Zaragoza,LL,1,Fabregas,6,62,1,0,,
224,2011-11-23,FCBarcelona,AC Milan,CL,0,,11,50,1,1,,
225,2011-11-29,FCBarcelona,Rayo Vallecano,LL,1,Alves,4,66,1,0,,
226,2011-12-03,FCBarcelona,Levante,LL,1,Alves,9,64,1,0,,
227,2011-12-18,FCBarcelona,Santos,Club WC,0,Xavi,7,64,1,0,Chip,
228,2011-12-18,FCBarcelona,Santos,Club WC,0,Alves,3,43,1,0,,
229,2012-01-04,FCBarcelona,Osasuna,CDR,1,Fabregas,8,47,3,0,,
230,2012-01-04,FCBarcelona,Osasuna,CDR,1,Xavi,17,59,1,0,,
231,2012-01-15,FCBarcelona,Real Betis,LL,1,Alexis,6,53,1,0,,
232,2012-01-15,FCBarcelona,Real Betis,LL,1,,11,50,1,1,,
233,2012-01-22,FCBarcelona,Malaga,LL,0,Adriano,13,52,3,0,,
234,2012-01-22,FCBarcelona,Malaga,LL,0,Thiago,15,53,1,0,,
235,2012-01-22,FCBarcelona,Malaga,LL,0,Pedro,6,38,1,0,,
236,2012-02-04,FCBarcelona,Real Sociedad,LL,1,Alves,4,39,1,0,,
237,2012-02-14,FCBarcelona,Bayer Leverkusen,CL,0,Alves,8,47,1,0,,
238,2012-02-19,FCBarcelona,Valencia,LL,1,,2,40,1,0,,
239,2012-02-19,FCBarcelona,Valencia,LL,1,Abidal,0,56,1,0,,
240,2012-02-19,FCBarcelona,Valencia,LL,1,Tello,10,45,1,0,,
241,2012-02-19,FCBarcelona,Valencia,LL,1,Busquets,13,48,1,0,Chip,
242,2012-02-26,FCBarcelona,Atletico Madrid,LL,0,,8,36,1,2,,
243,2012-02-29,Argentina,Switzerland,IF,0,Aguero,16,48,1,0,,
244,2012-02-29,Argentina,Switzerland,IF,0,Aguero,16,48,1,0,,
245,2012-02-29,Argentina,Switzerland,IF,0,,11,50,1,1,,
246,2012-03-07,FCBarcelona,Bayer Leverkusen,CL,1,Xavi,10,37,1,0,Chip,
247,2012-03-07,FCBarcelona,Bayer Leverkusen,CL,1,Iniesta,10,54,1,0,,
248,2012-03-07,FCBarcelona,Bayer Leverkusen,CL,1,Fabregas,11,63,2,0,Chip,
249,2012-03-07,FCBarcelona,Bayer Leverkusen,CL,1,,2,40,1,0,,
250,2012-03-07,FCBarcelona,Bayer Leverkusen,CL,1,Keita,18,45,1,0,,
251,2012-03-11,FCBarcelona,Racing Santander,LL,0,Fabregas,4,50,1,0,,
252,2012-03-11,FCBarcelona,Racing Santander,LL,0,Fabregas,11,50,1,1,,
253,2012-03-17,FCBarcelona,Sevilla,LL,0,Iniesta,8,37,1,0,Chip,
254,2012-03-20,FCBarcelona,Granada,LL,1,Cuenca,12,61,1,0,,
255,2012-03-20,FCBarcelona,Granada,LL,1,Alves,9,42,1,0,Chip,
256,2012-03-20,FCBarcelona,Granada,LL,1,Alves,3,61,1,0,,
257,2012-03-24,FCBarcelona,Mallorca,LL,0,,27,78,1,2,,
258,2012-03-31,FCBarcelona,Athletic Club,LL,1,,11,50,1,1,,
259,2012-04-03,FCBarcelona,AC Milan,CL,1,,11,50,1,1,,
260,2012-04-03,FCBarcelona,AC Milan,CL,0,,11,50,1,1,,
261,2012-04-07,FCBarcelona,Real Zaragoza,LL,0,Alexis,9,36,1,0,,
262,2012-04-07,FCBarcelona,Real Zaragoza,LL,0,,11,50,1,1,,
263,2012-04-10,FCBarcelona,Getafe,LL,1,Iniesta,4,44,1,0,,
264,2012-04-14,FCBarcelona,Levante,LL,0,Alexis,15,49,1,0,,
265,2012-04-14,FCBarcelona,Levante,LL,0,,11,50,1,1,,
266,2012-04-29,FCBarcelona,Rayo Vallecano,LL,0,Pedro,2,43,1,0,,
267,2012-04-29,FCBarcelona,Rayo Vallecano,LL,0,Pedro,14,47,1,0,,
268,2012-05-02,FCBarcelona,Malaga,LL,1,,11,50,1,1,,
269,2012-05-02,FCBarcelona,Malaga,LL,1,,11,50,1,1,,
270,2012-05-02,FCBarcelona,Malaga,LL,1,Iniesta,7,52,1,0,,
271,2012-05-05,FCBarcelona,Espanyol,LL,1,,23,57,1,2,,
272,2012-05-05,FCBarcelona,Espanyol,LL,1,,11,50,1,1,,
273,2012-05-05,FCBarcelona,Espanyol,LL,1,Adriano,9,33,1,0,,
274,2012-05-05,FCBarcelona,Espanyol,LL,1,,11,50,1,1,,
275,2012-05-25,FCBarcelona,Athletic Club,LL,0,Iniesta,4,65,2,0,,
276,2012-06-03,Argentina,Ecuador,WCQ,1,Higuain,13,49,1,0,,
277,2012-06-09,Argentina,Brazil,IF,0,Higuain,15,55,1,0,,
278,2012-06-09,Argentina,Brazil,IF,0,DiMaria,8,38,1,0,,
279,2012-06-09,Argentina,Brazil,IF,0,Fernandez,20,61,1,0,,
280,2012-08-15,Argentina,Germany,IF,0,Higuain,15,39,1,0,,
281,2012-08-19,FCBarcelona,Real Sociedad,LL,1,Pedro,14,53,1,0,,
282,2012-08-19,FCBarcelona,Real Sociedad,LL,1,Tello,8,40,1,0,,
283,2012-08-23,FCBarcelona,Real Madrid,Spanish SC,1,,11,50,1,1,,
284,2012-08-26,FCBarcelona,Osasuna,LL,0,Alexis,6,53,1,0,,
285,2012-08-26,FCBarcelona,Osasuna,LL,0,Alba,14,50,1,0,,
286,2012-08-29,FCBarcelona,Real Madrid,Spanish SC,0,,27,50,1,2,,
287,2012-09-08,Argentina,Paraguay,WCQ,1,,30,52,1,2,,
288,2012-09-15,FCBarcelona,Getafe,LL,0,,11,50,1,1,,
289,2012-09-15,FCBarcelona,Getafe,LL,0,Montoya,4,47,1,0,,
290,2012-09-19,FCBarcelona,Spartak Moscow,CL,1,Tello,6,46,1,0,,
291,2012-09-19,FCBarcelona,Spartak Moscow,CL,1,Alexis,2,53,3,0,,
292,2012-10-07,FCBarcelona,Real Madrid,LL,1,,5,51,1,0,,
293,2012-10-07,FCBarcelona,Real Madrid,LL,1,,26,54,1,2,,
294,2012-10-13,Argentina,Uruguay,WCQ,1,DiMaria,3,47,2,0,,
295,2012-10-13,Argentina,Uruguay,WCQ,1,,22,71,1,2,,
296,2012-10-17,Argentina,Chile,WCQ,0,Gago,13,60,1,0,,
297,2012-10-20,FCBarcelona,Deportivo La Coruna,LL,0,Fabregas,19,46,1,0,,
298,2012-10-20,FCBarcelona,Deportivo La Coruna,LL,0,Fabregas,10,62,2,0,,
299,2012-10-20,FCBarcelona,Deportivo La Coruna,LL,0,Xavi,13,35,1,0,,
300,2012-10-27,FCBarcelona,Rayo Vallecano,LL,0,Montoya,14,49,1,0,,
301,2012-10-27,FCBarcelona,Rayo Vallecano,LL,0,Fabregas,3,65,2,0,,
302,2012-11-07,FCBarcelona,Celtic,CL,0,,3,57,1,0,,
303,2012-11-11,FCBarcelona,Mallorca,LL,0,Busquets,20,50,1,0,,
304,2012-11-11,FCBarcelona,Mallorca,LL,0,Alexis,14,38,1,0,,
305,2012-11-17,FCBarcelona,Real Zaragoza,LL,1,Pedro,12,41,1,0,,
306,2012-11-17,FCBarcelona,Real Zaragoza,LL,1,Montoya,19,56,1,0,,
307,2012-11-20,FCBarcelona,Spartak Moscow,CL,0,,16,52,2,0,,
308,2012-11-20,FCBarcelona,Spartak Moscow,CL,0,Pedro,8,39,1,0,,
309,2012-11-25,FCBarcelona,Levante,LL,0,Iniesta,11,37,1,0,chip,
310,2012-11-25,FCBarcelona,Levante,LL,0,Iniesta,7,40,1,0,,
311,2012-12-01,FCBarcelona,Athletic Club,LL,1,Xavi,7,44,1,0,,
312,2012-12-01,FCBarcelona,Athletic Club,LL,1,Alba,10,39,2,0,,
313,2012-12-09,FCBarcelona,Real Betis,LL,0,Iniesta,10,36,1,0,,
314,2012-12-09,FCBarcelona,Real Betis,LL,0,Iniesta,13,35,1,0,,record breaking goal
315,2012-12-12,FCBarcelona,Cordoba,CDR,0,Villa,5,53,1,0,,
316,2012-12-12,FCBarcelona,Cordoba,CDR,0,Alexis,7,41,1,0,,
317,2012-12-16,FCBarcelona,Atletico Madrid,LL,1,Alexis,19,42,1,0,,
318,2012-12-16,FCBarcelona,Atletico Madrid,LL,1,,7,59,1,0,,
319,2012-12-22,FCBarcelona,Valladolid,LL,0,Xavi,14,38,1,0,,
320,2013-01-06,FCBarcelona,Espanyol,LL,0,,11,50,1,1,,
321,2013-01-13,FCBarcelona,Malaga,LL,0,,14,33,2,0,,
322,2013-01-16,FCBarcelona,Malaga,CDR,1,,13,72,1,0,,
323,2013-01-19,FCBarcelona,Real Sociedad,LL,0,Iniesta,16,50,1,0,,
324,2013-01-24,FCBarcelona,Malaga,CDR,0,Alves,9,51,3,0,,
325,2013-01-27,FCBarcelona,Osasuna,LL,1,Xavi,1,55,2,0,,
326,2013-01-27,FCBarcelona,Osasuna,LL,1,,11,50,1,1,,
327,2013-01-27,FCBarcelona,Osasuna,LL,1,Villa,8,35,1,0,,
328,2013-01-27,FCBarcelona,Osasuna,LL,1,Adriano,5,48,1,0,,
329,2013-01-27,FCBarcelona,Valencia,LL,0,,11,50,1,1,,
330,2013-02-10,FCBarcelona,Getafe,LL,1,Thiago,7,42,1,0,,
331,2013-02-16,FCBarcelona,Granada,LL,0,,7,44,2,0,,
332,2013-02-16,FCBarcelona,Granada,LL,0,,24,42,1,2,,
333,2013-02-23,FCBarcelona,Sevilla,LL,1,Tello,10,45,1,0,,
334,2013-03-02,FCBarcelona,Real Madrid,LL,0,Alves,9,65,1,0,,
335,2013-03-09,FCBarcelona,Deportivo La Coruna,LL,1,Alexis,7,55,1,0,,
336,2013-03-12,FCBarcelona,AC Milan,CL,1,Xavi,15,46,1,0,,
337,2013-03-12,FCBarcelona,AC Milan,CL,1,Iniesta,18,55,1,0,,
338,2013-03-17,FCBarcelona,Rayo Vallecano,LL,1,Villa,10,35,1,0,,
339,2013-03-17,FCBarcelona,Rayo Vallecano,LL,1,Villa,10,41,1,0,Chip,
340,2013-03-23,Argentina,Venezuela,WCQ,1,,11,50,1,1,,
341,2013-03-30,FCBarcelona,Celta Vigo,LL,0,Tello,9,47,1,0,,
342,2013-04-02,FCBarcelona,PSG,CL,0,Alves,6,33,1,0,,
343,2013-04-27,FCBarcelona,Athletic Club,LL,0,Thiago,16,55,1,0,,
344,2013-05-05,FCBarcelona,Real Betis,LL,1,,21,64,1,2,,
345,2013-05-05,FCBarcelona,Real Betis,LL,1,Alexis,5,46,1,0,,
346,2013-06-15,Argentina,Guatemala,IF,0,Lavezzi,22,33,1,0,,
347,2013-06-15,Argentina,Guatemala,IF,0,,11,50,1,1,,
348,2013-06-15,Argentina,Guatemala,IF,0,Lavezzi,9,54,1,0,,
349,2013-08-18,FCBarcelona,Levante,LL,1,Pedro,8,42,1,0,,
350,2013-08-18,FCBarcelona,Levante,LL,1,,11,50,1,1,adriano assist,
351,2013-09-01,FCBarcelona,Valencia,LL,0,Fabregas,5,44,1,0,,
352,2013-09-01,FCBarcelona,Valencia,LL,0,Fabregas,8,60,2,0,,
353,2013-09-01,FCBarcelona,Valencia,LL,0,Neymar,12,42,1,0,,
354,2013-09-11,Argentina,Paraguay,WCQ,0,,11,50,1,1,,
355,2013-09-11,Argentina,Paraguay,WCQ,0,,11,50,1,1,,
356,2013-09-14,FCBarcelona,Sevilla,LL,1,Neymar,9,54,1,0,,
357,2013-09-18,FCBarcelona,Ajax,CL,1,,21,52,1,2,,
358,2013-09-18,FCBarcelona,Ajax,CL,1,Busquets,10,58,1,0,,
359,2013-09-18,FCBarcelona,Ajax,CL,1,Xavi,15,48,1,0,,
360,2013-09-24,FCBarcelona,Real Sociedad,LL,1,Neymar,6,57,2,0,,
361,2013-09-28,FCBarcelona,Almeria,LL,0,Pedro,17,57,1,0,,
362,2013-10-22,FCBarcelona,AC Milan,CL,0,Iniesta,11,56,1,0,,
363,2013-11-06,FCBarcelona,AC Milan,CL,1,,11,50,1,1,,
364,2013-11-06,FCBarcelona,AC Milan,CL,1,Fabregas,8,52,1,0,,
365,2014-01-08,FCBarcelona,Getafe,CDR,1,Montoya,8,44,1,0,,
366,2014-01-08,FCBarcelona,Getafe,CDR,1,Song,12,59,1,0,,
367,2014-01-16,FCBarcelona,Getafe,CDR,0,Tello,5,43,2,0,,
368,2014-01-16,FCBarcelona,Getafe,CDR,0,Tello,4,33,1,0,,
369,2014-02-01,FCBarcelona,Valencia,LL,1,,11,50,1,1,,
370,2014-02-09,FCBarcelona,Sevilla,LL,0,Pedro,16,39,1,0,,
371,2014-02-09,FCBarcelona,Sevilla,LL,0,Iniesta,17,47,1,0,,
372,2014-02-12,FCBarcelona,Real Sociedad,CDR,0,,17,47,1,0,,
373,2014-02-15,FCBarcelona,Rayo Vallecano,LL,1,Fabregas,19,34,1,0,Chip,
374,2014-02-15,FCBarcelona,Rayo Vallecano,LL,1,Alexis,14,50,1,0,,
375,2014-02-18,FCBarcelona,Man City,CL,0,,11,50,1,0,,
376,2014-02-22,FCBarcelona,Real Sociedad,LL,0,Montoya,17,46,1,0,,
377,2014-03-02,FCBarcelona,Almeria,LL,1,,26,48,1,2,,
378,2014-03-12,FCBarcelona,Man City,CL,1,Fabregas,9,57,1,0,,
379,2014-03-16,FCBarcelona,Osasuna,LL,1,Alexis,3,59,1,0,,
380,2014-03-16,FCBarcelona,Osasuna,LL,1,Iniesta,3,38,1,0,,
381,2014-03-16,FCBarcelona,Osasuna,LL,1,Alves,7,49,2,0,,
382,2014-03-23,FCBarcelona,Real Madrid,LL,0,Neymar,11,50,1,1,,
383,2014-03-23,FCBarcelona,Real Madrid,LL,0,Neymar,11,50,1,1,,
384,2014-03-23,FCBarcelona,Real Madrid,LL,0,Iniesta,11,50,1,1,,
385,2014-03-26,FCBarcelona,Celta Vigo,LL,1,Iniesta,6,59,2,0,,
386,2014-03-29,FCBarcelona,Espanyol,LL,0,Lopez,11,50,1,1,,
387,2014-04-05,FCBarcelona,Real Betis,LL,1,Alexis,11,50,1,1,,
388,2014-04-05,FCBarcelona,Real Betis,LL,1,,7,55,2,0,Missed pen,
389,2014-04-20,FCBarcelona,Athletic Club,LL,1,,18,52,1,2,,
390,2014-04-27,FCBarcelona,Villareal,LL,0,Fabregas,8,48,2,0,,
391,2014-05-03,FCBarcelona,Getafe,LL,1,Alves,13,45,1,0,,
392,2014-06-07,Argentina,Slovenia,IF,1,Aguero,7,54,1,0,,
393,2014-06-16,Argentina,Bosnia,WC,0,Higuain,17,50,1,0,,
394,2014-06-21,Argentina,Iran,WC,0,Lavezzi,19,68,1,0,,
395,2014-06-25,Argentina,Nigeria,WC,0,DiMaria,8,45,1,0,,
396,2014-06-25,Argentina,Nigeria,WC,0,,25,71,1,2,,
397,2014-08-24,FCBarcelona,Elche,LL,1,Busquets,13,38,1,0,,
398,2014-08-24,FCBarcelona,Elche,LL,1,,14,56,1,0,,
399,2014-09-21,FCBarcelona,Levante,LL,0,,14,53,2,0,Chip,
400,2014-09-27,FCBarcelona,Granada,LL,1,Alves,5,46,3,0,,
401,2014-09-27,FCBarcelona,Granada,LL,1,,8,57,2,0,,
402,2014-09-30,FCBarcelona,PSG,CL,0,Iniesta,12,43,1,0,,
403,2014-10-04,FCBarcelona,Rayo Vallecano,LL,0,Pique,7,39,1,0,,
404,2014-10-14,Argentina,HongKong,IF,0,Gaitan,9,53,2,0,,
405,2014-10-14,Argentina,HongKong,IF,0,,12,46,1,0,,
406,2014-10-18,FCBarcelona,Eibar,LL,1,Neymar,9,36,1,0,,
407,2014-10-21,FCBarcelona,Ajax,CL,1,Iniesta,9,52,1,0,,
408,2014-11-05,FCBarcelona,Ajax,CL,0,Bartra,9,54,3,0,,
409,2014-11-05,FCBarcelona,Ajax,CL,0,Pedro,5,49,1,0,,
410,2014-11-12,Argentina,Croatia,IF,1,,11,50,1,1,,
411,2014-11-22,FCBarcelona,Sevilla,LL,1,,22,48,1,2,,
412,2014-11-22,FCBarcelona,Sevilla,LL,1,Neymar,2,57,1,0,,
413,2014-11-22,FCBarcelona,Sevilla,LL,1,Neymar,15,43,1,0,,
414,2014-11-25,FCBarcelona,Apoel,CL,1,Rafinha,8,46,2,0,,
415,2014-11-25,FCBarcelona,Apoel,CL,1,Alves,11,57,2,0,,
416,2014-11-25,FCBarcelona,Apoel,CL,1,Pedro,6,47,2,0,,
417,2014-12-07,FCBarcelona,Espanyol,LL,1,Xavi,21,44,1,0,,
418,2014-12-07,FCBarcelona,Espanyol,LL,1,Suarez,17,51,2,0,,
419,2014-12-07,FCBarcelona,Espanyol,LL,1,Pedro,8,58,2,0,,
420,2014-12-10,FCBarcelona,PSG,CL,1,Suarez,3,57,2,0,,
421,2014-12-20,FCBarcelona,Cordoba,LL,1,,14,52,2,0,,
422,2014-12-20,FCBarcelona,Cordoba,LL,1,,10,62,2,0,,
423,2015-01-08,FCBarcelona,Elche,CDR,1,Neymar,11,50,1,1,,
424,2015-01-11,FCBarcelona,Atletico Madrid,LL,1,Rakitic,7,56,1,0,,
